application_id,application_date,age,monthly_income,requested_amount,credit_score,channel,status,processing_hours
A00090,2025-12-18,58,2863.6,2902.51,593,Partner,Rejected,18.7
A00091,2025-04-28,26,448.16,705.75,648,Mobile App,Rejected,16.7
A00092,2025-07-12,49,2109.36,2585.52,699,Partner,Rejected,22.5
A00093,2025-05-06,52,1180.95,1936.4,687,Partner,Approved,5.0
A00094,2025-10-02,26,2426.79,450.99,590,Web,Rejected,19.1
A00095,2025-02-08,37,1089.57,3074.48,663,Partner,Approved,26.0
A00096,2025-08-24,52,3013.42,491.61,697,Web,Rejected,8.8
A00097,2025-01-24,33,594.04,760.22,750,Partner,Approved,12.3
A00098,2025-12-21,40,2306.62,707.08,546,Web,Rejected,28.4
A00099,2025-05-18,27,2530.38,2767.69,555,Partner,Rejected,18.5
A00100,2025-05-27,50,1817.58,3115.25,741,Partner,Rejected,15.0
A00101,2025-04-13,40,3431.1,3757.77,570,Web,Approved,25.1
A00102,2025-02-09,53,3399.54,1907.91,586,Mobile App,Approved,8.6
A00103,2025-04-18,25,2181.64,738.61,656,Web,Approved,23.5
A00104,2025-03-09,53,1230.64,628.17,699,Web,Approved,23.7
A00105,2025-09-06,46,428.23,213.64,651,Web,Rejected,12.8
A00106,2025-07-27,40,2640.63,1781.49,606,Mobile App,Rejected,11.8
A00107,2025-06-19,21,1372.32,1485.44,718,Mobile App,Approved,15.9
A00108,2025-01-07,39,1147.62,446.91,710,Partner,Approved,14.0
A00109,2025-02-09,44,3265.06,3071.49,641,Web,Rejected,14.3
A00110,2025-02-22,24,2979.23,1285.37,667,Mobile App,Rejected,18.1
A00111,2025-05-17,48,1959.53,921.43,691,Web,Approved,30.2
A00112,2025-01-15,46,3227.29,3774.66,665,Partner,Approved,16.4
A00113,2025-02-11,24,3290.42,1761.37,612,Mobile App,Rejected,14.2
A00114,2025-11-26,39,1879.56,3665.24,724,Mobile App,Approved,12.8
A00115,2025-08-30,47,1432.54,1331.53,676,Partner,Rejected,19.0
A00116,2025-05-14,46,2416.39,1343.18,671,Web,Approved,14.4
A00117,2025-03-03,31,2376.1,485.65,743,Web,Approved,18.7
A00118,2025-10-09,35,1776.91,1464.77,705,Web,Approved,26.2
A00119,2025-03-13,56,956.08,544.72,754,Mobile App,Rejected,11.6
A00120,2025-06-13,36,1510.16,3275.56,645,Mobile App,Approved,20.0
A00121,2025-07-31,45,1653.73,2191.84,671,Web,Approved,4.7
A00122,2025-02-01,52,1224.18,3877.2,762,Partner,Approved,18.1
A00123,2025-09-28,34,641.68,3607.8,727,Partner,Rejected,5.8
A00124,2025-08-17,48,3354.92,3425.0,763,Mobile App,Rejected,9.9
A00125,2025-03-07,23,1689.38,3102.02,673,Partner,Rejected,4.2
A00126,2025-09-08,21,580.38,3734.91,669,Partner,Rejected,12.4
A00127,2025-08-28,49,1132.67,614.37,667,Partner,Approved,21.1
A00128,2025-12-16,27,3315.7,2942.59,683,Web,Rejected,20.8
A00129,2025-02-13,56,2797.11,205.19,649,Partner,Approved,11.0
A00130,2025-01-20,40,3381.67,2580.6,678,Web,Approved,22.4
A00131,2025-12-24,28,663.25,1341.33,760,Mobile App,Rejected,19.7
A00132,2025-07-18,37,1054.29,2484.03,565,Web,Approved,20.6
A00133,2025-08-24,38,3370.66,2649.39,774,Web,Rejected,14.4
A00134,2025-09-27,36,2073.06,311.27,646,Partner,Approved,20.2
A00135,2025-06-07,24,418.63,2093.58,647,Web,Rejected,18.5
A00136,2025-02-11,37,1067.7,1812.43,679,Web,Approved,27.8
A00137,2025-01-18,42,2612.75,1576.82,712,Mobile App,Approved,12.9
A00138,2025-05-30,53,562.41,2083.64,719,Mobile App,Approved,24.6
A00139,2025-04-29,50,1047.54,3089.79,643,Partner,Approved,15.0
A00140,2025-09-11,32,3173.9,2043.2,530,Mobile App,Rejected,20.3
A00141,2025-11-01,30,3254.06,406.56,641,Partner,Approved,3.1
A00142,2025-03-14,47,513.3,428.51,565,Partner,Rejected,12.4
A00143,2025-06-10,28,3492.22,3740.06,729,Mobile App,Approved,17.4
A00144,2025-12-01,54,2700.87,321.2,710,Web,Approved,10.3
A00145,2025-07-11,42,1743.67,614.04,592,Mobile App,Approved,24.2
A00146,2025-06-29,47,3359.87,670.09,711,Mobile App,Rejected,13.8
A00147,2025-07-14,43,2771.51,1373.06,763,Mobile App,Approved,11.3
A00148,2025-01-26,51,966.5,2257.81,652,Web,Rejected,21.2
A00149,2025-07-06,51,445.39,1761.05,799,Web,Rejected,14.1
A00150,2025-01-21,45,459.79,437.8,789,Web,Rejected,9.8
A00151,2025-04-10,25,3180.44,1488.46,701,Partner,Approved,16.8
A00152,2025-01-23,37,2701.28,2820.39,576,Web,Rejected,15.8
A00153,2025-01-02,25,426.41,1088.69,740,Web,Rejected,13.0
A00154,2025-07-17,37,3227.66,3296.24,675,Web,Approved,27.8
A00155,2025-04-04,21,2878.09,3006.25,598,Mobile App,Rejected,3.5
A00156,2025-11-07,36,1382.57,1414.29,637,Partner,Approved,9.6
A00157,2025-02-10,53,971.53,3060.97,767,Mobile App,Approved,20.2
A00158,2025-11-29,23,1867.32,2269.54,623,Web,Approved,13.7
A00159,2025-02-23,25,1184.41,519.51,820,Web,Approved,13.7
A00160,2025-12-30,49,895.55,705.14,630,Partner,Rejected,16.1
A00161,2025-05-01,55,3018.01,2724.82,721,Web,Approved,19.6
A00162,2025-05-31,38,2135.69,1617.29,620,Mobile App,Rejected,5.9
A00163,2025-08-13,36,935.07,1094.92,718,Partner,Rejected,13.6
A00164,2025-04-07,41,554.13,1156.28,573,Partner,Approved,26.2
A00165,2025-04-29,27,2407.98,3965.63,730,Web,Approved,16.3
A00166,2025-04-29,49,3230.28,353.38,663,Mobile App,Approved,19.6
A00167,2025-01-26,33,2241.55,3346.12,635,Mobile App,Approved,8.6
A00168,2025-07-10,53,3078.3,1906.63,700,Partner,Approved,7.9
A00169,2025-01-04,27,2357.99,2896.88,705,Mobile App,Approved,7.9
A00170,2025-07-08,42,795.31,975.11,673,Partner,Approved,17.1
A00171,2025-11-30,34,2916.44,3311.57,795,Web,Approved,10.5
A00172,2025-04-05,40,595.49,319.57,588,Web,Rejected,9.5
A00173,2025-02-02,47,669.37,1702.13,606,Partner,Rejected,9.9
A00174,2025-10-01,26,2407.13,1711.53,707,Web,Approved,23.4
A00175,2025-12-08,40,1666.21,395.17,787,Web,Approved,12.8
A00176,2025-08-01,47,407.37,3113.32,820,Partner,Rejected,27.9
A00177,2025-04-11,46,2643.3,973.94,666,Mobile App,Approved,2.0
A00178,2025-08-05,28,2934.16,1743.63,674,Web,Rejected,14.5
A00179,2025-03-25,29,396.73,2295.88,530,Web,Rejected,14.5
A00180,2025-02-15,57,2309.91,1609.21,666,Mobile App,Approved,12.5
A00181,2025-06-28,39,859.72,852.78,720,Web,Approved,25.0
A00182,2025-09-09,33,1300.09,3381.71,648,Web,Approved,19.6
A00183,2025-06-11,24,2264.08,2618.2,637,Partner,Approved,12.5
A00184,2025-11-14,31,2367.02,3455.03,685,Partner,Rejected,17.7
A00185,2025-04-11,51,926.34,1028.92,643,Partner,Rejected,1.0
A00186,2025-03-22,45,1481.5,767.98,718,Mobile App,Rejected,2.8
A00187,2025-01-22,56,3003.83,2754.56,687,Web,Rejected,26.5
A00188,2025-03-02,45,2238.49,2290.2,678,Web,Rejected,5.7
A00189,2025-11-29,47,1320.87,1147.18,585,Web,Rejected,22.2
A00190,2025-08-17,53,1730.81,288.83,678,Web,Rejected,17.8
A00191,2025-08-27,36,1757.48,2550.59,740,Mobile App,Approved,17.7
A00192,2025-08-31,46,687.29,688.13,659,Mobile App,Rejected,7.4
A00193,2025-08-15,53,1957.01,354.91,480,Mobile App,Rejected,3.4
A00194,2025-06-10,53,601.9,3057.82,675,Partner,Rejected,12.8
A00195,2025-03-11,22,3049.77,3985.27,706,Mobile App,Approved,17.1
A00196,2025-04-10,29,3442.44,2069.11,690,Mobile App,Rejected,19.5
A00197,2025-12-18,35,556.38,1533.41,622,Mobile App,Rejected,12.0
A00198,2025-06-15,38,3200.95,1934.33,575,Web,Approved,24.8
A00199,2025-04-17,58,1178.03,2122.83,682,Mobile App,Approved,21.4
A00200,2025-04-12,32,1620.92,2618.97,780,Web,Approved,25.6
A00201,2025-07-12,31,2845.19,1204.5,676,Mobile App,Rejected,19.5
A00202,2025-11-22,44,3393.39,1921.55,586,Partner,Rejected,17.0
A00203,2025-02-23,37,3477.81,2593.15,689,Web,Approved,6.7
A00204,2025-05-16,45,3470.07,2393.97,766,Mobile App,Approved,13.1
A00205,2025-08-15,35,906.78,3025.66,724,Partner,Approved,15.1
A00206,2025-05-10,40,2363.6,3939.41,744,Partner,Approved,27.2
A00207,2025-06-10,21,2703.43,1042.22,626,Partner,Approved,7.3
A00208,2025-08-10,47,1964.94,3603.06,671,Mobile App,Approved,23.9
A00209,2025-11-10,23,420.21,209.94,655,Mobile App,Rejected,9.7
A00210,2025-09-25,43,2032.46,1770.31,711,Mobile App,Approved,1.0
A00211,2025-04-15,44,2315.38,2004.63,636,Mobile App,Approved,8.3
A00212,2025-12-29,30,1770.19,441.94,699,Partner,Approved,12.8
A00213,2025-05-19,46,2906.45,3875.11,607,Partner,Approved,15.5
A00214,2025-06-29,58,1747.83,3761.2,584,Mobile App,Rejected,13.9
A00215,2025-03-26,21,488.61,2219.8,635,Mobile App,Rejected,11.4
A00216,2025-03-23,24,3221.99,598.69,633,Partner,Rejected,20.4
A00217,2025-04-11,30,1651.51,2169.38,672,Partner,Rejected,17.7
A00218,2025-11-25,47,2912.15,863.63,711,Web,Approved,12.4
A00219,2025-11-17,24,3481.29,2952.36,717,Partner,Approved,20.4
A00220,2025-01-04,45,3009.96,3031.71,700,Partner,Approved,15.2
A00221,2025-12-02,49,902.48,3987.12,652,Partner,Approved,23.5
A00222,2025-01-20,28,1406.88,3048.69,820,Web,Rejected,8.2
A00223,2025-12-31,24,1187.86,2304.39,714,Partner,Approved,15.4
A00224,2025-05-16,39,2372.31,3867.54,731,Partner,Approved,21.1
A00225,2025-01-08,31,1170.16,1097.22,748,Mobile App,Rejected,1.0
A00226,2025-06-17,33,3122.52,1448.5,640,Partner,Approved,11.1
A00227,2025-12-21,55,1828.9,3390.9,672,Mobile App,Rejected,8.9
A00228,2025-08-12,35,2146.57,1369.45,638,Partner,Approved,22.8
A00229,2025-10-27,25,2130.39,851.88,803,Mobile App,Approved,1.0
A00230,2025-02-24,31,1436.32,739.0,659,Mobile App,Approved,20.2
A00231,2025-03-12,23,2545.57,2999.78,680,Partner,Approved,15.6
A00232,2025-07-06,33,2925.32,3314.34,592,Mobile App,Rejected,7.4
A00233,2025-12-31,45,687.42,981.75,727,Mobile App,Approved,25.5
A00234,2025-11-21,26,2948.94,2599.84,686,Mobile App,Approved,12.1
A00235,2025-03-09,27,2844.7,2656.02,686,Web,Approved,16.3
A00236,2025-08-05,37,415.89,1175.47,715,Partner,Rejected,14.8
A00237,2025-07-08,41,2773.1,2487.63,639,Web,Approved,19.3
A00238,2025-11-13,22,2835.53,318.74,603,Mobile App,Rejected,19.7
A00239,2025-06-27,51,2569.68,2243.95,756,Mobile App,Approved,9.8
A00240,2025-10-22,39,886.67,204.94,707,Mobile App,Approved,11.1
A00241,2025-01-03,43,1896.09,2067.64,749,Mobile App,Approved,24.3
A00242,2025-09-11,58,1443.63,3360.98,665,Mobile App,Approved,25.0
A00243,2025-05-26,34,3305.61,1079.8,651,Partner,Approved,13.5
A00244,2025-02-11,52,2831.93,2849.2,643,Partner,Rejected,13.0
A00245,2025-06-17,43,649.72,3728.32,658,Partner,Rejected,15.1
A00246,2025-02-14,48,3148.61,295.66,640,Web,Approved,23.4
A00247,2025-08-08,55,1928.75,1641.36,746,Mobile App,Rejected,10.5
A00248,2025-08-24,29,2024.37,3067.01,587,Partner,Rejected,19.1
A00249,2025-01-18,43,2181.98,2182.58,754,Web,Rejected,12.9
A00250,2025-12-05,56,2687.26,844.29,596,Web,Rejected,15.9
A00251,2025-10-24,35,747.08,1955.67,779,Mobile App,Rejected,1.0
A00252,2025-09-17,33,1192.57,3067.99,711,Partner,Rejected,11.8
A00253,2025-03-21,30,3420.52,2948.01,624,Web,Rejected,17.5
A00254,2025-03-24,36,1383.44,919.24,595,Partner,Rejected,16.1
A00255,2025-02-22,31,3381.51,586.22,765,Mobile App,Approved,19.2
A00256,2025-06-04,40,1720.01,945.53,623,Mobile App,Rejected,1.5
A00257,2025-05-24,34,3138.53,1962.88,596,Web,Approved,5.1
A00258,2025-12-22,35,1926.53,2603.04,783,Mobile App,Approved,16.3
A00259,2025-05-12,46,367.38,1120.68,612,Partner,Rejected,4.9
A00260,2025-10-21,58,2709.67,1800.39,610,Partner,Approved,15.6
A00261,2025-12-01,58,3035.2,2782.47,596,Web,Rejected,25.7
A00262,2025-08-10,41,1168.4,2862.47,631,Mobile App,Rejected,8.5
A00263,2025-07-24,31,1137.69,1809.6,700,Partner,Approved,28.2
A00264,2025-07-29,54,2477.02,3734.75,766,Partner,Approved,14.6
A00265,2025-06-17,21,1574.43,2061.39,696,Mobile App,Rejected,15.0
A00266,2025-05-09,55,1036.33,2921.62,714,Mobile App,Rejected,15.8
A00267,2025-09-23,43,668.42,2383.33,618,Partner,Rejected,5.2
A00268,2025-09-01,53,400.74,3211.75,691,Web,Rejected,5.7
A00269,2025-07-30,50,1011.78,2800.57,768,Mobile App,Approved,18.3
A00270,2025-11-11,43,2358.34,1159.34,613,Mobile App,Rejected,11.7
A00271,2025-01-07,25,1668.53,1798.08,647,Web,Rejected,13.1
A00272,2025-10-25,37,694.16,1353.28,741,Partner,Rejected,3.9
A00273,2025-04-23,46,1805.67,825.23,558,Mobile App,Rejected,16.4
A00274,2025-11-21,33,1827.85,2335.8,668,Mobile App,Approved,19.1
A00275,2025-06-30,47,1824.52,1318.5,708,Mobile App,Approved,16.7
A00276,2025-08-29,43,2818.32,1075.72,731,Partner,Approved,11.7
A00277,2025-05-10,48,2488.28,2029.96,684,Web,Rejected,8.2
A00278,2025-07-03,36,2411.37,1417.22,606,Partner,Rejected,18.3
A00279,2025-11-23,26,2426.68,1577.24,716,Web,Rejected,1.0
A00280,2025-01-30,26,2957.88,3642.06,607,Mobile App,Rejected,16.0
A00281,2025-09-29,43,2344.46,256.95,749,Mobile App,Approved,13.3
A00282,2025-12-02,39,1137.58,585.75,668,Mobile App,Approved,8.1
A00283,2025-04-06,49,1441.3,780.15,820,Partner,Rejected,17.3
A00284,2025-03-27,26,2455.64,3596.87,738,Web,Approved,22.6
A00285,2025-04-12,52,2532.3,2217.02,740,Web,Approved,22.3
A00286,2025-12-10,28,2098.45,1205.08,658,Mobile App,Approved,23.2
A00287,2025-08-31,52,2105.19,2040.61,685,Partner,Rejected,23.1
A00288,2025-09-09,36,1919.25,2250.26,632,Mobile App,Rejected,10.2
A00289,2025-03-24,41,1824.08,2337.76,722,Web,Approved,27.0
A00290,2025-07-11,48,1669.27,3850.33,689,Partner,Approved,13.0
A00291,2025-07-04,22,414.76,374.31,672,Web,Rejected,10.5
A00292,2025-02-18,53,1875.14,3077.25,803,Mobile App,Approved,24.3
A00293,2025-08-01,29,1416.61,3474.42,762,Web,Approved,20.1
A00294,2025-09-27,56,2777.31,1000.76,643,Web,Approved,26.2
A00295,2025-05-09,56,516.07,1298.76,787,Web,Rejected,18.1
A00296,2025-07-26,42,1936.81,1232.45,678,Mobile App,Approved,25.6
A00297,2025-12-02,52,2844.65,1457.41,655,Web,Approved,23.4
A00298,2025-03-07,58,3414.16,532.79,633,Web,Rejected,7.2
A00299,2025-10-11,46,2068.01,388.86,716,Mobile App,Approved,20.4
A00300,2025-01-24,33,2939.18,2005.2,803,Mobile App,Approved,16.0
A00301,2025-09-14,55,2276.98,2543.46,681,Partner,Rejected,6.0
A00302,2025-12-19,26,1019.38,2734.61,558,Mobile App,Rejected,1.5
A00303,2025-02-21,32,3088.0,1801.97,710,Partner,Approved,9.8
A00304,2025-01-07,44,3096.55,727.04,753,Partner,Approved,28.0
A00305,2025-05-13,40,932.05,330.12,661,Partner,Approved,29.6
A00306,2025-11-25,58,3291.65,407.55,694,Mobile App,Approved,25.9
A00307,2025-03-02,47,2162.26,3690.79,665,Mobile App,Approved,24.7
A00308,2025-12-15,45,2220.67,3973.88,618,Mobile App,Rejected,18.4
A00309,2025-09-01,47,2078.74,515.11,650,Mobile App,Approved,17.1
A00310,2025-11-17,21,1695.05,235.44,721,Mobile App,Approved,19.2
A00311,2025-04-22,28,756.25,267.55,675,Mobile App,Rejected,19.1
A00312,2025-08-19,32,3256.83,1590.32,732,Partner,Approved,8.3
A00313,2025-03-16,26,1273.4,2318.46,716,Partner,Approved,22.7
A00314,2025-05-11,24,2609.21,243.32,631,Partner,Approved,20.7
A00315,2025-12-18,26,1575.19,1387.48,593,Web,Rejected,24.1
A00316,2025-11-08,24,1346.28,3805.29,664,Web,Rejected,13.5
A00317,2025-12-13,31,806.46,3229.97,757,Partner,Rejected,13.0
A00318,2025-03-25,47,1852.43,3156.75,718,Web,Approved,10.7
A00319,2025-10-18,42,1271.02,430.42,642,Partner,Rejected,4.3
A00320,2025-11-04,42,3089.11,2957.7,666,Mobile App,Approved,25.2
A00321,2025-11-04,40,2191.7,3910.27,694,Web,Approved,24.2
A00322,2025-12-17,45,2245.61,3605.24,613,Web,Rejected,7.8
A00323,2025-12-19,21,1362.81,1218.49,649,Mobile App,Approved,22.0
A00324,2025-05-28,30,2907.02,3495.38,703,Web,Approved,17.9
A00325,2025-10-08,52,1442.59,523.24,720,Web,Approved,16.9
A00326,2025-04-13,35,1324.83,418.73,678,Partner,Approved,27.1
A00327,2025-04-16,37,2197.12,235.6,641,Partner,Approved,19.3
A00328,2025-02-14,55,2890.71,3134.23,784,Partner,Approved,18.7
A00329,2025-09-24,37,3138.05,2183.06,725,Partner,Approved,13.8
A00330,2025-04-14,33,1019.98,550.32,807,Web,Rejected,1.0
A00331,2025-07-05,57,2127.96,1729.47,606,Mobile App,Rejected,6.6
A00332,2025-05-07,23,3256.25,2074.42,785,Web,Rejected,16.5
A00333,2025-11-20,50,2830.14,793.39,662,Web,Rejected,5.0
A00334,2025-05-24,54,2262.48,557.52,703,Partner,Approved,18.8
A00335,2025-09-06,58,2136.63,1194.07,634,Web,Rejected,3.6
A00336,2025-02-19,49,2766.83,3311.56,608,Web,Rejected,15.5
A00337,2025-01-20,42,983.12,886.79,700,Mobile App,Approved,18.5
A00338,2025-01-18,56,1514.34,2881.17,670,Mobile App,Approved,5.6
A00339,2025-11-03,46,3254.79,2884.23,683,Web,Approved,10.8
A00340,2025-10-17,35,2367.99,3834.4,682,Web,Rejected,17.3
A00341,2025-04-04,49,3026.54,1609.46,636,Partner,Approved,10.8
A00342,2025-04-24,32,471.69,1172.28,744,Partner,Rejected,16.5
A00343,2025-01-15,24,1162.4,2150.67,638,Web,Rejected,1.0
A00344,2025-01-29,27,806.11,3068.81,676,Partner,Rejected,18.4
A00345,2025-06-02,58,2213.12,3080.01,752,Web,Approved,13.3
A00346,2025-07-10,37,1578.65,1624.94,638,Web,Approved,14.9
A00347,2025-05-03,30,3230.04,3590.25,734,Mobile App,Approved,9.8
A00348,2025-01-19,31,3272.19,1038.1,672,Web,Rejected,7.5
A00349,2025-03-13,49,3367.55,3718.57,697,Mobile App,Approved,7.1
A00350,2025-11-18,25,1774.85,1491.16,704,Web,Rejected,10.5
A00351,2025-03-01,44,799.72,1042.27,665,Partner,Approved,21.7
A00352,2025-08-20,56,3151.35,1868.09,754,Web,Approved,6.1
A00353,2025-07-30,36,840.41,1230.21,745,Web,Rejected,17.9
A00354,2025-03-27,37,1896.67,1408.65,660,Mobile App,Rejected,23.8
A00355,2025-03-20,53,529.09,3601.14,692,Mobile App,Rejected,23.1
A00356,2025-10-14,51,2981.14,652.92,641,Web,Rejected,7.9
A00357,2025-08-10,37,3493.97,3715.3,759,Web,Approved,33.1
A00358,2025-08-01,31,531.07,2960.6,721,Partner,Rejected,20.2
A00359,2025-01-09,49,2892.12,1495.44,649,Mobile App,Approved,8.7
A00360,2025-09-27,39,935.33,1853.95,665,Mobile App,Rejected,24.5
A00361,2025-05-22,57,919.16,3404.81,559,Mobile App,Rejected,10.5
A00362,2025-12-31,32,969.64,501.21,555,Partner,Approved,18.8
A00363,2025-09-11,38,902.25,720.76,736,Partner,Rejected,5.3
A00364,2025-04-09,58,1320.34,238.14,653,Partner,Rejected,23.3
A00365,2025-07-28,24,1983.15,1521.04,674,Partner,Approved,9.3
A00366,2025-09-10,26,398.65,3658.82,594,Partner,Rejected,1.0
A00367,2025-05-17,36,936.06,3360.17,730,Mobile App,Rejected,8.8
A00368,2025-12-26,44,2161.0,3460.68,748,Web,Approved,24.1
A00369,2025-09-22,25,730.43,2915.44,637,Web,Rejected,10.3
A00370,2025-12-31,45,2165.38,3612.56,730,Mobile App,Approved,19.0
A00371,2025-09-11,49,1966.94,2215.94,697,Mobile App,Approved,6.5
A00372,2025-05-05,26,1054.65,893.1,738,Web,Approved,11.9
A00373,2025-10-12,22,411.27,3719.98,532,Web,Rejected,9.7
