order_id,order_date,region,category,product,units,unit_price,discount,revenue,month
O0063,2025-07-06,Banten,Fashion,T-Shirt,3,115.18,0.0,345.54,2025-07
O0064,2025-09-17,East Java,Beauty,Lip Balm,3,77.21,0.05,220.05,2025-09
O0065,2025-03-07,East Java,Home,Pillow,4,124.5,0.0,498.0,2025-03
O0066,2025-10-19,Banten,Beauty,Lip Balm,5,151.4,0.05,719.15,2025-10
O0067,2025-04-18,East Java,Fashion,Backpack,4,83.99,0.0,335.96,2025-04
O0068,2025-08-31,Banten,Home,Desk Lamp,3,96.66,0.15,246.48,2025-08
O0069,2025-02-17,Jakarta,Home,Water Bottle,2,146.73,0.0,293.46,2025-02
O0070,2025-01-24,Central Java,Home,Pillow,5,154.15,0.0,770.75,2025-01
O0071,2025-08-01,West Java,Sports,Resistance Band,4,93.03,0.0,372.12,2025-08
O0072,2025-12-02,Central Java,Electronics,Wireless Earbuds,4,45.64,0.15,155.18,2025-12
O0073,2025-01-26,East Java,Sports,Resistance Band,1,86.51,0.1,77.86,2025-01
O0074,2025-10-14,Central Java,Sports,Dumbbell,4,113.38,0.15,385.49,2025-10
O0075,2025-10-08,Banten,Fashion,Sneakers,4,85.41,0.0,341.64,2025-10
O0076,2025-09-24,West Java,Fashion,Sneakers,3,83.66,0.05,238.43,2025-09
O0077,2025-05-20,West Java,Beauty,Sunscreen,5,21.86,0.0,109.3,2025-05
O0078,2025-07-16,East Java,Home,Storage Box,1,79.36,0.05,75.39,2025-07
O0079,2025-08-27,East Java,Fashion,T-Shirt,2,151.26,0.1,272.27,2025-08
O0080,2025-12-23,Banten,Electronics,Smart Watch,4,9.01,0.05,34.24,2025-12
O0081,2025-07-19,Central Java,Fashion,Sneakers,4,45.74,0.1,164.66,2025-07
O0082,2025-01-15,West Java,Fashion,Backpack,4,132.56,0.1,477.22,2025-01
O0083,2025-11-15,Jakarta,Sports,Yoga Mat,4,109.81,0.0,439.24,2025-11
O0084,2025-11-26,Central Java,Fashion,Sneakers,4,39.26,0.05,149.19,2025-11
O0085,2025-06-17,Banten,Home,Pillow,3,66.05,0.1,178.33,2025-06
O0086,2025-08-04,Jakarta,Beauty,Face Wash,4,11.33,0.15,38.52,2025-08
O0087,2025-06-29,West Java,Home,Desk Lamp,1,137.73,0.0,137.73,2025-06
O0088,2025-01-11,East Java,Sports,Resistance Band,2,29.71,0.0,59.42,2025-01
O0089,2025-04-22,Jakarta,Fashion,Backpack,3,36.86,0.15,93.99,2025-04
O0090,2025-03-25,East Java,Beauty,Face Wash,5,12.42,0.05,58.99,2025-03
O0091,2025-12-13,Jakarta,Fashion,Cap,2,21.07,0.0,42.14,2025-12
O0092,2025-12-23,East Java,Beauty,Face Wash,5,142.61,0.05,677.4,2025-12
O0093,2025-08-08,Central Java,Beauty,Face Wash,5,119.38,0.0,596.9,2025-08
O0094,2025-09-08,West Java,Electronics,Smart Watch,3,117.32,0.1,316.76,2025-09
O0095,2025-08-11,Central Java,Home,Water Bottle,5,147.01,0.15,624.79,2025-08
O0096,2025-08-27,Banten,Fashion,Backpack,3,154.49,0.0,463.47,2025-08
O0097,2025-08-19,Banten,Home,Pillow,5,112.98,0.1,508.41,2025-08
O0098,2025-01-15,Banten,Fashion,Backpack,2,91.86,0.05,174.53,2025-01
O0099,2025-06-24,Jakarta,Beauty,Sunscreen,5,9.75,0.0,48.75,2025-06
O0100,2025-05-04,Central Java,Fashion,Cap,5,138.4,0.1,622.8,2025-05
O0101,2025-08-18,Banten,Electronics,Wireless Earbuds,3,46.11,0.0,138.33,2025-08
O0102,2025-12-06,Central Java,Sports,Dumbbell,4,103.2,0.05,392.16,2025-12
O0103,2025-10-09,West Java,Beauty,Sunscreen,4,54.6,0.05,207.48,2025-10
O0104,2025-03-03,West Java,Home,Water Bottle,1,135.78,0.0,135.78,2025-03
O0105,2025-04-21,East Java,Fashion,Backpack,5,175.98,0.15,747.91,2025-04
O0106,2025-05-25,Banten,Electronics,Power Bank,3,47.13,0.0,141.39,2025-05
O0107,2025-01-08,East Java,Sports,Resistance Band,3,15.83,0.0,47.49,2025-01
O0108,2025-05-30,Banten,Home,Pillow,1,158.11,0.15,134.39,2025-05
O0109,2025-08-29,Banten,Fashion,Cap,3,39.71,0.0,119.13,2025-08
O0110,2025-09-02,Jakarta,Electronics,Wireless Earbuds,4,92.58,0.15,314.77,2025-09
O0111,2025-03-19,East Java,Home,Water Bottle,1,178.95,0.0,178.95,2025-03
O0112,2025-08-02,Banten,Sports,Resistance Band,5,73.43,0.1,330.44,2025-08
O0113,2025-10-29,Jakarta,Fashion,Backpack,5,114.82,0.15,487.98,2025-10
O0114,2025-04-17,East Java,Home,Water Bottle,1,35.01,0.0,35.01,2025-04
O0115,2025-02-08,Central Java,Home,Desk Lamp,4,85.49,0.15,290.67,2025-02
O0116,2025-05-30,Jakarta,Electronics,Power Bank,3,129.6,0.1,349.92,2025-05
O0117,2025-12-18,Central Java,Home,Water Bottle,5,121.72,0.0,608.6,2025-12
O0118,2025-02-28,Jakarta,Sports,Resistance Band,2,164.25,0.0,328.5,2025-02
O0119,2025-01-31,Banten,Home,Water Bottle,5,136.82,0.15,581.48,2025-01
O0120,2025-08-13,East Java,Electronics,Smart Watch,3,128.35,0.05,365.8,2025-08
O0121,2025-10-04,Banten,Fashion,Cap,1,110.86,0.1,99.77,2025-10
O0122,2025-11-06,East Java,Beauty,Face Wash,1,47.37,0.15,40.26,2025-11
O0123,2025-01-11,Banten,Beauty,Face Wash,2,88.93,0.1,160.07,2025-01
O0124,2025-04-03,Banten,Sports,Running Bottle,4,174.68,0.1,628.85,2025-04
O0125,2025-07-29,Central Java,Beauty,Sunscreen,1,155.53,0.05,147.75,2025-07
O0126,2025-12-22,Jakarta,Fashion,Backpack,4,147.93,0.15,502.96,2025-12
O0127,2025-08-21,East Java,Electronics,Keyboard,3,63.6,0.1,171.72,2025-08
O0128,2025-01-01,Banten,Sports,Running Bottle,4,17.32,0.15,58.89,2025-01
O0129,2025-11-15,West Java,Fashion,Cap,1,43.01,0.15,36.56,2025-11
O0130,2025-05-28,West Java,Fashion,Cap,1,12.97,0.15,11.02,2025-05
O0131,2025-12-30,Jakarta,Home,Water Bottle,5,10.35,0.1,46.58,2025-12
O0132,2025-04-26,Central Java,Electronics,Smart Watch,1,119.41,0.0,119.41,2025-04
O0133,2025-05-30,West Java,Sports,Dumbbell,4,151.57,0.1,545.65,2025-05
O0134,2025-08-22,East Java,Sports,Resistance Band,4,40.78,0.15,138.65,2025-08
O0135,2025-03-11,Banten,Electronics,Keyboard,4,66.46,0.15,225.96,2025-03
O0136,2025-01-02,West Java,Beauty,Sunscreen,5,107.75,0.1,484.88,2025-01
O0137,2025-08-17,Central Java,Sports,Running Bottle,3,65.18,0.15,166.21,2025-08
O0138,2025-08-22,Central Java,Beauty,Moisturizer,2,106.35,0.0,212.7,2025-08
O0139,2025-01-23,Central Java,Beauty,Lip Balm,4,74.41,0.0,297.64,2025-01
O0140,2025-01-19,Jakarta,Home,Water Bottle,1,158.36,0.1,142.52,2025-01
O0141,2025-09-27,Jakarta,Fashion,T-Shirt,2,78.52,0.0,157.04,2025-09
O0142,2025-08-29,Banten,Beauty,Sunscreen,5,127.15,0.0,635.75,2025-08
O0143,2025-12-12,East Java,Sports,Running Bottle,3,115.81,0.1,312.69,2025-12
O0144,2025-01-19,West Java,Sports,Yoga Mat,2,116.56,0.05,221.46,2025-01
O0145,2025-02-16,Jakarta,Fashion,T-Shirt,1,84.31,0.05,80.09,2025-02
O0146,2025-01-24,West Java,Beauty,Face Wash,3,69.66,0.1,188.08,2025-01
O0147,2025-05-06,West Java,Sports,Running Bottle,5,125.27,0.0,626.35,2025-05
O0148,2025-03-31,East Java,Electronics,Smart Watch,5,125.5,0.1,564.75,2025-03
O0149,2025-03-15,Central Java,Home,Pillow,3,87.05,0.0,261.15,2025-03
O0150,2025-05-28,East Java,Sports,Resistance Band,1,83.98,0.05,79.78,2025-05
O0151,2025-06-03,Central Java,Fashion,Backpack,4,153.39,0.0,613.56,2025-06
O0152,2025-09-05,Banten,Electronics,Power Bank,4,106.37,0.15,361.66,2025-09
O0153,2025-12-25,Jakarta,Beauty,Face Wash,4,55.21,0.15,187.71,2025-12
O0154,2025-11-07,West Java,Fashion,Backpack,2,112.42,0.05,213.6,2025-11
O0155,2025-11-22,Banten,Home,Water Bottle,2,116.06,0.0,232.12,2025-11
O0156,2025-08-14,Banten,Electronics,Keyboard,2,23.5,0.05,44.65,2025-08
O0157,2025-08-01,East Java,Home,Storage Box,2,143.28,0.05,272.23,2025-08
O0158,2025-09-14,Banten,Beauty,Moisturizer,3,165.22,0.1,446.09,2025-09
O0159,2025-06-23,Central Java,Electronics,Smart Watch,1,32.21,0.0,32.21,2025-06
O0160,2025-10-13,Jakarta,Beauty,Face Wash,4,10.39,0.15,35.33,2025-10
O0161,2025-08-21,Jakarta,Beauty,Sunscreen,5,73.54,0.05,349.32,2025-08
O0162,2025-12-12,Banten,Home,Pillow,1,114.56,0.15,97.38,2025-12
O0163,2025-11-09,Central Java,Home,Desk Lamp,4,164.41,0.05,624.76,2025-11
O0164,2025-03-01,Jakarta,Home,Desk Lamp,1,60.35,0.1,54.32,2025-03
O0165,2025-02-19,Central Java,Home,Storage Box,4,86.03,0.15,292.5,2025-02
O0166,2025-10-28,Central Java,Home,Pillow,1,151.4,0.15,128.69,2025-10
O0167,2025-05-24,Banten,Electronics,Keyboard,2,84.26,0.0,168.52,2025-05
O0168,2025-02-20,Jakarta,Beauty,Sunscreen,1,76.48,0.0,76.48,2025-02
O0169,2025-08-21,Banten,Electronics,Power Bank,5,175.03,0.0,875.15,2025-08
O0170,2025-05-05,West Java,Home,Storage Box,1,150.73,0.15,128.12,2025-05
O0171,2025-10-28,Jakarta,Home,Storage Box,3,141.19,0.15,360.03,2025-10
O0172,2025-05-22,Jakarta,Home,Storage Box,5,51.11,0.0,255.55,2025-05
O0173,2025-12-05,East Java,Electronics,Power Bank,1,69.62,0.0,69.62,2025-12
O0174,2025-06-15,East Java,Electronics,Power Bank,3,17.01,0.1,45.93,2025-06
O0175,2025-02-28,East Java,Electronics,Smart Watch,4,141.82,0.15,482.19,2025-02
O0176,2025-02-25,Banten,Fashion,Sneakers,5,15.46,0.15,65.71,2025-02
O0177,2025-08-23,Jakarta,Electronics,Wireless Earbuds,4,153.74,0.1,553.46,2025-08
O0178,2025-09-09,Jakarta,Fashion,T-Shirt,1,63.4,0.0,63.4,2025-09
O0179,2025-03-06,Banten,Beauty,Sunscreen,4,179.08,0.15,608.87,2025-03
O0180,2025-08-21,East Java,Sports,Running Bottle,1,144.41,0.0,144.41,2025-08
O0181,2025-04-21,Central Java,Fashion,Cap,2,79.18,0.1,142.52,2025-04
O0182,2025-08-01,Banten,Electronics,Keyboard,4,61.75,0.05,234.65,2025-08
O0183,2025-03-20,Central Java,Fashion,T-Shirt,1,151.06,0.0,151.06,2025-03
O0184,2025-02-19,East Java,Beauty,Moisturizer,5,18.32,0.15,77.86,2025-02
O0185,2025-06-18,Jakarta,Electronics,Smart Watch,3,158.26,0.1,427.3,2025-06
O0186,2025-05-28,West Java,Sports,Dumbbell,3,25.82,0.15,65.84,2025-05
O0187,2025-03-21,Banten,Fashion,Sneakers,1,68.22,0.15,57.99,2025-03
O0188,2025-02-28,East Java,Beauty,Moisturizer,4,153.37,0.15,521.46,2025-02
O0189,2025-12-12,Jakarta,Sports,Yoga Mat,5,167.8,0.05,797.05,2025-12
O0190,2025-04-03,West Java,Beauty,Sunscreen,3,68.38,0.0,205.14,2025-04
O0191,2025-10-17,Jakarta,Fashion,T-Shirt,2,135.45,0.0,270.9,2025-10
O0192,2025-09-29,Banten,Home,Pillow,4,86.03,0.0,344.12,2025-09
O0193,2025-06-09,Jakarta,Beauty,Face Wash,1,34.76,0.15,29.55,2025-06
O0194,2025-12-12,East Java,Electronics,Keyboard,4,121.85,0.1,438.66,2025-12
O0195,2025-08-15,Banten,Fashion,Backpack,2,137.85,0.0,275.7,2025-08
O0196,2025-08-09,Jakarta,Electronics,Keyboard,5,91.7,0.05,435.57,2025-08
O0197,2025-04-23,West Java,Fashion,T-Shirt,1,43.16,0.0,43.16,2025-04
O0198,2025-05-11,West Java,Beauty,Sunscreen,1,9.33,0.1,8.4,2025-05
O0199,2025-03-08,Jakarta,Fashion,Sneakers,5,104.1,0.05,494.47,2025-03
O0200,2025-07-23,Banten,Electronics,Smart Watch,1,87.08,0.0,87.08,2025-07
O0201,2025-10-22,Jakarta,Fashion,Cap,4,57.8,0.1,208.08,2025-10
O0202,2025-06-16,West Java,Home,Pillow,3,23.16,0.0,69.48,2025-06
O0203,2025-08-12,Banten,Sports,Running Bottle,5,21.53,0.05,102.27,2025-08
O0204,2025-04-24,East Java,Beauty,Moisturizer,1,95.8,0.0,95.8,2025-04
O0205,2025-09-19,West Java,Home,Water Bottle,3,133.11,0.0,399.33,2025-09
O0206,2025-02-22,Jakarta,Home,Water Bottle,2,37.84,0.0,75.68,2025-02
O0207,2025-04-01,East Java,Fashion,Cap,5,138.7,0.1,624.15,2025-04
O0208,2025-11-26,Central Java,Sports,Dumbbell,3,33.96,0.0,101.88,2025-11
O0209,2025-08-15,Jakarta,Beauty,Sunscreen,5,17.66,0.15,75.05,2025-08
O0210,2025-06-08,Jakarta,Fashion,Cap,1,17.79,0.05,16.9,2025-06
O0211,2025-11-27,Central Java,Electronics,Smart Watch,4,107.82,0.0,431.28,2025-11
O0212,2025-10-20,Jakarta,Home,Water Bottle,5,89.81,0.0,449.05,2025-10
O0213,2025-08-19,Jakarta,Electronics,Keyboard,1,94.78,0.0,94.78,2025-08
O0214,2025-05-07,Banten,Fashion,Cap,5,97.91,0.0,489.55,2025-05
O0215,2025-07-10,Jakarta,Beauty,Lip Balm,4,141.21,0.15,480.11,2025-07
O0216,2025-11-20,Banten,Beauty,Face Wash,3,24.26,0.1,65.5,2025-11
O0217,2025-05-10,Banten,Sports,Resistance Band,3,22.02,0.0,66.06,2025-05
O0218,2025-06-08,Banten,Fashion,Sneakers,5,129.92,0.0,649.6,2025-06
O0219,2025-10-14,Jakarta,Fashion,Backpack,2,123.26,0.15,209.54,2025-10
O0220,2025-11-27,West Java,Fashion,Backpack,1,70.37,0.0,70.37,2025-11
O0221,2025-06-24,Jakarta,Fashion,Sneakers,2,180.0,0.0,360.0,2025-06
O0222,2025-06-01,West Java,Electronics,Wireless Earbuds,3,158.74,0.15,404.79,2025-06
O0223,2025-11-02,West Java,Fashion,Sneakers,2,39.11,0.15,66.49,2025-11
O0224,2025-08-13,Central Java,Electronics,Smart Watch,3,124.33,0.0,372.99,2025-08
O0225,2025-11-09,Central Java,Beauty,Lip Balm,2,99.85,0.05,189.71,2025-11
O0226,2025-04-10,East Java,Beauty,Lip Balm,4,140.34,0.1,505.22,2025-04
O0227,2025-09-28,Banten,Fashion,Sneakers,2,145.82,0.0,291.64,2025-09
O0228,2025-01-27,Jakarta,Fashion,Backpack,5,168.7,0.15,716.98,2025-01
O0229,2025-05-26,West Java,Electronics,Power Bank,3,85.28,0.15,217.46,2025-05
O0230,2025-08-12,Central Java,Electronics,Power Bank,4,160.16,0.0,640.64,2025-08
O0231,2025-01-28,Banten,Fashion,Backpack,2,74.42,0.0,148.84,2025-01
O0232,2025-04-25,West Java,Electronics,Keyboard,1,152.34,0.05,144.72,2025-04
O0233,2025-03-12,Central Java,Electronics,Keyboard,4,127.72,0.0,510.88,2025-03
O0234,2025-08-18,West Java,Sports,Yoga Mat,1,11.27,0.0,11.27,2025-08
O0235,2025-10-08,Banten,Sports,Running Bottle,1,141.5,0.0,141.5,2025-10
O0236,2025-03-04,Central Java,Electronics,Power Bank,4,117.9,0.15,400.86,2025-03
O0237,2025-02-02,East Java,Electronics,Smart Watch,5,100.2,0.15,425.85,2025-02
O0238,2025-05-04,West Java,Home,Water Bottle,4,8.27,0.05,31.43,2025-05
O0239,2025-10-20,Jakarta,Fashion,Sneakers,1,98.04,0.05,93.14,2025-10
O0240,2025-09-27,Central Java,Sports,Yoga Mat,4,158.21,0.0,632.84,2025-09
O0241,2025-07-11,West Java,Beauty,Face Wash,3,143.63,0.05,409.35,2025-07
O0242,2025-12-03,Banten,Electronics,Keyboard,2,15.63,0.15,26.57,2025-12
O0243,2025-11-26,Jakarta,Home,Pillow,4,116.66,0.0,466.64,2025-11
O0244,2025-08-23,Jakarta,Electronics,Keyboard,2,15.53,0.0,31.06,2025-08
O0245,2025-06-11,West Java,Beauty,Lip Balm,5,89.42,0.0,447.1,2025-06
O0246,2025-05-27,Central Java,Beauty,Face Wash,3,54.99,0.05,156.72,2025-05
O0247,2025-07-24,Central Java,Fashion,Cap,3,175.48,0.1,473.8,2025-07
O0248,2025-07-08,Central Java,Sports,Dumbbell,1,133.06,0.0,133.06,2025-07
O0249,2025-11-05,Banten,Home,Water Bottle,3,25.65,0.05,73.1,2025-11
O0250,2025-06-06,Central Java,Fashion,Cap,2,126.64,0.05,240.62,2025-06
O0251,2025-01-22,Jakarta,Beauty,Lip Balm,3,117.99,0.0,353.97,2025-01
O0252,2025-12-10,Jakarta,Fashion,Backpack,5,145.79,0.0,728.95,2025-12
O0253,2025-03-15,Banten,Sports,Running Bottle,1,29.71,0.0,29.71,2025-03
O0254,2025-07-05,Banten,Fashion,T-Shirt,5,34.39,0.1,154.75,2025-07
O0255,2025-07-10,Central Java,Fashion,T-Shirt,5,31.68,0.05,150.48,2025-07
O0256,2025-06-10,Central Java,Beauty,Moisturizer,1,12.46,0.0,12.46,2025-06
O0257,2025-09-23,West Java,Fashion,T-Shirt,3,141.29,0.1,381.48,2025-09
O0258,2025-11-10,Central Java,Beauty,Lip Balm,2,29.09,0.0,58.18,2025-11
O0259,2025-03-30,East Java,Fashion,T-Shirt,3,122.87,0.0,368.61,2025-03
O0260,2025-10-05,Banten,Beauty,Sunscreen,2,130.43,0.0,260.86,2025-10
O0261,2025-09-18,Central Java,Home,Desk Lamp,2,144.24,0.0,288.48,2025-09
O0262,2025-01-14,West Java,Beauty,Sunscreen,4,146.23,0.15,497.18,2025-01
O0263,2025-11-10,East Java,Electronics,Wireless Earbuds,3,76.48,0.1,206.5,2025-11
O0264,2025-07-30,Central Java,Fashion,T-Shirt,2,175.25,0.0,350.5,2025-07
O0265,2025-08-27,East Java,Sports,Dumbbell,2,159.01,0.15,270.32,2025-08
O0266,2025-04-04,Jakarta,Home,Pillow,5,164.64,0.0,823.2,2025-04
O0267,2025-09-23,Banten,Home,Water Bottle,2,35.86,0.0,71.72,2025-09
O0268,2025-09-23,Banten,Beauty,Face Wash,3,41.76,0.15,106.49,2025-09
O0269,2025-03-06,East Java,Beauty,Face Wash,5,118.25,0.15,502.56,2025-03
O0270,2025-03-20,Jakarta,Home,Water Bottle,5,15.09,0.0,75.45,2025-03
O0271,2025-01-24,East Java,Sports,Dumbbell,2,139.92,0.1,251.86,2025-01
O0272,2025-11-24,Central Java,Electronics,Smart Watch,5,57.82,0.05,274.64,2025-11
O0273,2025-05-06,West Java,Fashion,Backpack,4,20.55,0.0,82.2,2025-05
O0274,2025-08-14,West Java,Fashion,Cap,4,43.09,0.15,146.51,2025-08
O0275,2025-06-10,East Java,Beauty,Sunscreen,4,30.49,0.05,115.86,2025-06
O0276,2025-10-15,Central Java,Electronics,Keyboard,2,88.23,0.05,167.64,2025-10
O0277,2025-05-07,East Java,Home,Desk Lamp,1,57.92,0.1,52.13,2025-05
O0278,2025-08-03,West Java,Home,Storage Box,3,168.61,0.05,480.54,2025-08
O0279,2025-03-23,Jakarta,Fashion,Cap,4,159.2,0.1,573.12,2025-03
O0280,2025-02-16,Jakarta,Fashion,Cap,2,45.0,0.05,85.5,2025-02
O0281,2025-01-26,Banten,Beauty,Lip Balm,5,159.76,0.1,718.92,2025-01
O0282,2025-10-02,Banten,Electronics,Wireless Earbuds,4,31.04,0.05,117.95,2025-10
O0283,2025-07-26,West Java,Beauty,Face Wash,4,16.8,0.15,57.12,2025-07
O0284,2025-07-05,East Java,Sports,Dumbbell,1,74.45,0.1,67.01,2025-07
O0285,2025-05-24,Banten,Sports,Yoga Mat,2,175.71,0.1,316.28,2025-05
O0286,2025-06-23,Central Java,Sports,Dumbbell,2,42.24,0.15,71.81,2025-06
O0287,2025-09-14,Central Java,Electronics,Wireless Earbuds,1,31.57,0.05,29.99,2025-09
O0288,2025-09-23,Banten,Fashion,Sneakers,5,161.62,0.0,808.1,2025-09
O0289,2025-11-10,East Java,Beauty,Moisturizer,4,178.39,0.05,677.88,2025-11
O0290,2025-06-22,Banten,Sports,Running Bottle,5,59.56,0.0,297.8,2025-06
O0291,2025-06-19,East Java,Electronics,Smart Watch,5,60.92,0.0,304.6,2025-06
O0292,2025-08-31,East Java,Beauty,Moisturizer,1,108.37,0.0,108.37,2025-08
O0293,2025-11-19,Jakarta,Sports,Running Bottle,2,149.33,0.0,298.66,2025-11
O0294,2025-10-21,West Java,Electronics,Power Bank,1,83.86,0.1,75.47,2025-10
O0295,2025-07-31,Jakarta,Home,Pillow,5,141.3,0.1,635.85,2025-07
O0296,2025-12-28,East Java,Home,Storage Box,5,63.91,0.1,287.59,2025-12
O0297,2025-07-12,East Java,Beauty,Moisturizer,4,164.89,0.05,626.58,2025-07
O0298,2025-07-01,East Java,Beauty,Lip Balm,2,172.66,0.05,328.05,2025-07
O0299,2025-06-02,Banten,Home,Water Bottle,3,129.24,0.1,348.95,2025-06
O0300,2025-09-03,Central Java,Beauty,Sunscreen,3,28.96,0.15,73.85,2025-09
O0301,2025-07-22,Banten,Beauty,Moisturizer,3,15.24,0.0,45.72,2025-07
O0302,2025-08-15,Banten,Beauty,Lip Balm,2,42.76,0.15,72.69,2025-08
O0303,2025-10-15,West Java,Beauty,Moisturizer,1,113.9,0.15,96.81,2025-10
O0304,2025-05-05,Banten,Electronics,Power Bank,2,17.03,0.1,30.65,2025-05
O0305,2025-08-30,Central Java,Electronics,Power Bank,1,173.9,0.0,173.9,2025-08
